location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSM,REVERSING,WET,NIGHT,MULTI,HEAVY,RAIN,NRES,ROA
RAD,REAR,N2T,DRY,DAY,MULTI,HEAVY,FINE,NRES,ROA
BSP,REAR,N2T,DRY,DAY,SINGLE,HEAVY,FINE,NRES,ROA
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,NSR,SSW,DRY,DAY,BUS,MODERATE,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,MIR,SSW,DRY,DAWN,MULTI,MODERATE,FINE,RES,BUS - OTHER
BSP,OSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,NRES,ROA
BSP,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,RES,EMP
RAD,REAR,N2T,WET,DUSK,SINGLE,HEAVY,RAIN,NRES,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,OSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,PEND,EMP
BSP,NSF,SSW,DRY,DAWN,BUS,MODERATE,FINE,RES,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,NO,FINE,RES,EMP
BSP,OSF,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,NRES,ROA
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
RAD,NSR,TAI,DRY,DAY,BUS,HEAVY,FINE,RES,EMP
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,ROA
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,NRES,CARS TRUCKS
XRD,FRNT,TBO,DRY,DAY,MULTI,HEAVY,FINE,NRES,CYC
RAD,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,RES,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,OSR,TAI,WET,NIGHT,BUS,LIGHT,RAIN,RES,EMP
RAD,REAR,TAI,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
RAD,FRNT,SSW,WET,DAY,MULTI,HEAVY,RAIN,RES,CARS TRUCKS
XRD,OSR,SSW,WET,DUSK,SINGLE,MODERATE,RAIN,RES,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,RES,CARS TRUCKS
RAD,OSM,SSW,WET,DAY,SINGLE,MODERATE,RAIN,NRES,CARS TRUCKS
RBT,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,REAR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,FRNT,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,NSR,BTMO,DRY,DAY,BUS,LIGHT,FINE,RES,EMP
RAD,REAR,REVERSING,DRY,DAY,MULTI,LIGHT,FINE,RES,BUS - OTHER
XRD,NSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,INCIDENT,GEN
RAD,MIR,SSW,WET,DAY,MULTI,LIGHT,RAIN,NRES,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,NRES,CARS TRUCKS
BSP,OSR,SSW,DRY,DAY,BUS,LIGHT,FINE,RES,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,CARS TRUCKS
RAD,NSR,N2T,DRY,DAY,SINGLE,MODERATE,FINE,NRES,ROA
TIN,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,EMP
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,NSR,BTMO,DRY,DAY,SINGLE,MODERATE,FINE,INCIDENT,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,UNREP,GEN
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,OSR,N2T,DRY,DAY,BUS,HEAVY,FINE,NRES,ROA
BSP,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,GEN
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,UN3PAR,ROA
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,NSR,TAI,WET,DAY,SINGLE,MODERATE,RAIN,RES,EMP
RAD,OSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,NRES,ROA
TIN,NSR,SSW,DRY,NIGHT,MULTI,HEAVY,FINE,RES,CARS TRUCKS
RAD,OSM,TBO,DRY,DAY,SINGLE,LIGHT,FINE,NRES,ROA
XRD,NSR,REVERSING,DRY,DAY,MULTI,LIGHT,FINE,NRES,ROA
BSP,NSF,SSW,DRY,DAY,SINGLE,HEAVY,FINE,RES,CARS TRUCKS
BSP,REAR,N2T,DRY,DAY,MULTI,HEAVY,FINE,NRES,ROA
BSP,OSR,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,UN3PAR,ROA
RAD,NSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,CARS TRUCKS
RAD,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSF,ROO,DRY,DAY,MULTI,HEAVY,FINE,RES,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSR,SSW,DRY,DUSK,SINGLE,HEAVY,FINE,RES,EMP
RBT,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,NSM,SSW,DRY,DAY,BUS,LIGHT,FINE,RES,EMP
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSM,SSW,WET,NIGHT,MULTI,HEAVY,RAIN,NRES,SURFING
RAD,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,RES,CARS TRUCKS
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,WSRE,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
