location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,REAR,N2T,WET,DUSK,SINGLE,HEAVY,RAIN,1,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,OSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,3,EMP
BSP,NSF,SSW,DRY,DAWN,BUS,MODERATE,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,OSF,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,NSR,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,NSR,TAI,DRY,DAY,BUS,HEAVY,FINE,4,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,1,CARS TRUCKS
XRD,FRNT,TBO,DRY,DAY,MULTI,HEAVY,FINE,1,CYC
RAD,NSR,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,OSR,TAI,WET,NIGHT,BUS,LIGHT,RAIN,4,EMP
RAD,REAR,TAI,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,FRNT,SSW,WET,DAY,MULTI,HEAVY,RAIN,4,CARS TRUCKS
XRD,OSR,SSW,WET,DUSK,SINGLE,MODERATE,RAIN,4,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,OSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,CARS TRUCKS
RAD,OSM,SSW,WET,DAY,SINGLE,MODERATE,RAIN,1,CARS TRUCKS
RBT,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,REAR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,FRNT,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,NSR,BTMO,DRY,DAY,BUS,LIGHT,FINE,4,EMP
RAD,REAR,REVERSING,DRY,DAY,MULTI,LIGHT,FINE,4,BUS - OTHER
XRD,NSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,0,GEN
RAD,MIR,SSW,WET,DAY,MULTI,LIGHT,RAIN,1,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,CARS TRUCKS
BSP,OSR,SSW,DRY,DAY,BUS,LIGHT,FINE,4,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,CARS TRUCKS
RAD,NSR,N2T,DRY,DAY,SINGLE,MODERATE,FINE,1,ROA
TIN,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,EMP
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,NSR,BTMO,DRY,DAY,SINGLE,MODERATE,FINE,0,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,6,GEN
BSP,OSR,N2T,DRY,DAY,BUS,HEAVY,FINE,1,ROA
BSP,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,GEN
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,5,ROA
RAD,NSR,TAI,WET,DAY,SINGLE,MODERATE,RAIN,4,EMP
RAD,OSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
TIN,NSR,SSW,DRY,NIGHT,MULTI,HEAVY,FINE,4,CARS TRUCKS
RAD,OSM,TBO,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
XRD,NSR,REVERSING,DRY,DAY,MULTI,LIGHT,FINE,1,ROA
BSP,NSF,SSW,DRY,DAY,SINGLE,HEAVY,FINE,4,CARS TRUCKS
BSP,REAR,N2T,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
BSP,OSR,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,5,ROA
RAD,NSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,CARS TRUCKS
RAD,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,OSF,ROO,DRY,DAY,MULTI,HEAVY,FINE,4,CARS TRUCKS
RAD,OSR,SSW,DRY,DUSK,SINGLE,HEAVY,FINE,4,EMP
